index	name	abbreviation	color
151	Ventral auditory area, layer 1	AUDv1	019099
152	Ventral auditory area, layer 2/3	AUDv2/3	029198
153	Ventral auditory area, layer 4	AUDv4	029197
154	Ventral auditory area, layer 5	AUDv5	019098
155	Ventral auditory area, layer 6a	AUDv6a	019397
156	Ventral auditory area, layer 6b	AUDv6b	019198
157	Visual areas	VIS	098489
158	Visual areas, layer 1	VIS1	08828A
159	Visual areas, layer 2/3	VIS2/3	0B858C
160	Visual areas, layer 4	VIS4	09828A
161	Visual areas, layer 5	VIS5	08818C
162	Visual areas, layer 6a	VIS6a	0A838C
163	Visual areas, layer 6b	VIS6b	09838A
164	Anterolateral visual area	VISal	09838C
165	Anterolateral visual area, layer 1	VISal1	0B838B
166	Anterolateral visual area, layer 2/3	VISal2/3	098389
167	Anterolateral visual area, layer 4	VISal4	088588
168	Anterolateral visual area, layer 5	VISal5	08848B
169	Anterolateral visual area, layer 6a	VISal6a	09828C
170	Anterolateral visual area, layer 6b	VISal6b	0B848C
171	Anteromedial visual area	VISam	08838B
172	Anteromedial visual area, layer 1	VISam1	09848B
173	Anteromedial visual area, layer 2/3	VISam2/3	0B848A
174	Anteromedial visual area, layer 4	VISam4	09858A
175	Anteromedial visual area, layer 5	VISam5	0A848B
176	Anteromedial visual area, layer 6a	VISam6a	0A828B
177	Anteromedial visual area, layer 6b	VISam6b	08838A
178	Lateral visual area	VISl	0A848C
179	Lateral visual area, layer 1	VISl1	09848A
180	Lateral visual area, layer 2/3	VISl2/3	0A8489
181	Lateral visual area, layer 4	VISl4	08828B
182	Lateral visual area, layer 5	VISl5	0B858B
183	Lateral visual area, layer 6a	VISl6a	08848C
184	Lateral visual area, layer 6b	VISl6b	09858C
185	Primary visual area	VISp	0A858C
186	Primary visual area, layer 1	VISp1	098589
187	Primary visual area, layer 2/3	VISp2/3	0A828C
188	Primary visual area, layer 4	VISp4	0B848B
189	Primary visual area, layer 5	VISp5	088389
190	Primary visual area, layer 6a	VISp6a	08858C
191	Primary visual area, layer 6b	VISp6b	08858A
192	Posterolateral visual area	VISpl	09838B
193	Posterolateral visual area, layer 1	VISpl1	0A838A
194	Posterolateral visual area, layer 2/3	VISpl2/3	09848C
195	Posterolateral visual area, layer 4	VISpl4	0B858A
196	Posterolateral visual area, layer 5	VISpl5	0B838C
197	Posterolateral visual area, layer 6a	VISpl6a	08838C
198	Posterolateral visual area, layer 6b	VISpl6b	08848A
199	posteromedial visual area	VISpm	0A838B
200	posteromedial visual area, layer 1	VISpm1	0A8589
201	posteromedial visual area, layer 2/3	VISpm2/3	08858B
202	posteromedial visual area, layer 4	VISpm4	09828B
203	posteromedial visual area, layer 5	VISpm5	088489
204	posteromedial visual area, layer 6a	VISpm6a	09858B
205	posteromedial visual area, layer 6b	VISpm6b	088589
206	Laterointermediate area	VISli	0A858B
207	Laterointermediate area, layer 1	VISli1	0C858C
208	Laterointermediate area, layer 2/3	VISli2/3	0A858A
209	Laterointermediate area, layer 4	VISli4	08828C
210	Laterointermediate area, layer 5	VISli5	0A848A
211	Laterointermediate area, layer 6a	VISli6a	088488
212	Laterointermediate area, layer 6b	VISli6b	08818B
213	Postrhinal area	VISpor	098588
214	Postrhinal area, layer 1	VISpor1	09818C
215	Postrhinal area, layer 2/3	VISpor2/3	0A8389
216	Postrhinal area, layer 4	VISpor4	0A828A
217	Postrhinal area, layer 5	VISpor5	0B838A
218	Postrhinal area, layer 6a	VISpor6a	0C858B
219	Postrhinal area, layer 6b	VISpor6b	0C848C
220	Anterior cingulate area	ACA	40A666
221	Anterior cingulate area, layer 1	ACA1	3FA565
222	Anterior cingulate area, layer 2/3	ACA2/3	3FA564
223	Anterior cingulate area, layer 5	ACA5	40A466
224	Anterior cingulate area, layer 6a	ACA6a	3FA666
225	Anterior cingulate area, layer 6b	ACA6b	3FA665
226	Anterior cingulate area, dorsal part	ACAd	40A665
227	Anterior cingulate area, dorsal part, layer 1	ACAd1	3EA665
228	Anterior cingulate area, dorsal part, layer 2/3	ACAd2/3	40A565
229	Anterior cingulate area, dorsal part, layer 5	ACAd5	3EA566
230	Anterior cingulate area, dorsal part, layer 6a	ACAd6a	3FA664
231	Anterior cingulate area, dorsal part, layer 6b	ACAd6b	3FA466
232	Anterior cingulate area, ventral part	ACAv	40A566
233	Anterior cingulate area, ventral part, layer 1	ACAv1	40A664
234	Anterior cingulate area, ventral part, layer 2/3	ACAv2/3	3FA566
235	Anterior cingulate area, ventral part, layer 5	ACAv5	3EA666
236	Anterior cingulate area, ventral part, 6a	ACAv6a	40A564
237	Anterior cingulate area, ventral part, 6b	ACAv6b	40A465
238	Prelimbic area	PL	2EA750
239	Prelimbic area, layer 1	PL1	2FA750
240	Prelimbic area, layer 2	PL2	2EA850
241	Prelimbic area, layer 2/3	PL2/3	2FA74F
242	Prelimbic area, layer 5	PL5	2EA84F
243	Prelimbic area, layer 6a	PL6a	2FA850
244	Prelimbic area, layer 6b	PL6b	2FA84F
245	Infralimbic area	ILA	59B363
246	Infralimbic area, layer 1	ILA1	59B263
247	Infralimbic area, layer 2	ILA2	58B363
248	Infralimbic area, layer 2/3	ILA2/3	59B362
249	Infralimbic area, layer 5	ILA5	59B262
250	Infralimbic area, layer 6a	ILA6a	58B362
251	Infralimbic area, layer 6b	ILA6b	58B263
252	Orbital area	ORB	23895C
253	Orbital area, layer 1	ORB1	248A5E
254	Orbital area, layer 2/3	ORB2/3	24885E
255	Orbital area, layer 5	ORB5	24895E
256	Orbital area, layer 6a	ORB6a	23895E
257	Orbital area, layer 6b	ORB6b	228A5E
258	Orbital area, lateral part	ORBl	23885D
259	Orbital area, lateral part, layer 1	ORBl1	238A5D
260	Orbital area, lateral part, layer 2/3	ORBl2/3	238A5E
261	Orbital area, lateral part, layer 5	ORBl5	228A5D
262	Orbital area, lateral part, layer 6a	ORBl6a	24895D
263	Orbital area, lateral part, layer 6b	ORBl6b	248A5C
264	Orbital area, medial part	ORBm	22895D
265	Orbital area, medial part, layer 1	ORBm1	23895D
266	Orbital area, medial part, layer 2	ORBm2	24895C
267	Orbital area, medial part, layer 2/3	ORBm2/3	24885D
268	Orbital area, medial part, layer 5	ORBm5	23885E
269	Orbital area, medial part, layer 6a	ORBm6a	22885E
270	Orbital area, medial part, layer 6b	ORBm6b	24875E
271	Orbital area, ventral part	ORBv	24885C
272	Orbital area, ventrolateral part	ORBvl	228A5C
273	Orbital area, ventrolateral part, layer 1	ORBvl1	248A5B
274	Orbital area, ventrolateral part, layer 2/3	ORBvl2/3	248A5D
275	Orbital area, ventrolateral part, layer 5	ORBvl5	23885C
276	Orbital area, ventrolateral part, layer 6a	ORBvl6a	238A5C
277	Orbital area, ventrolateral part, layer 6b	ORBvl6b	22895E
278	Agranular insular area	AI	219866
279	Agranular insular area, dorsal part	AId	219865
280	Agranular insular area, dorsal part, layer 1	AId1	209764
281	Agranular insular area, dorsal part, layer 2/3	AId2/3	209765
282	Agranular insular area, dorsal part, layer 5	AId5	209665
283	Agranular insular area, dorsal part, layer 6a	AId6a	209666
284	Agranular insular area, dorsal part, layer 6b	AId6b	1F9766
285	Agranular insular area, posterior part	AIp	219766
286	Agranular insular area, posterior part, layer 1	AIp1	219765
287	Agranular insular area, posterior part, layer 2/3	AIp2/3	209865
