index	name	color
1232	Primary visual area, layer 6b Right	e3ff00
1241	Posterolateral visual area, layer 1 Left	e0ff00
1242	Posterolateral visual area, layer 1 Right	e0ff00
1251	Posterolateral visual area, layer 2/3 Left	deff00
1252	Posterolateral visual area, layer 2/3 Right	deff00
1261	Posterolateral visual area, layer 4 Left	dcff00
1262	Posterolateral visual area, layer 4 Right	dcff00
1271	Posterolateral visual area, layer 5 Left	d9ff00
1272	Posterolateral visual area, layer 5 Right	d9ff00
1281	Posterolateral visual area, layer 6a Left	d7ff00
1282	Posterolateral visual area, layer 6a Right	d7ff00
1291	Posterolateral visual area, layer 6b Left	d5ff00
1292	Posterolateral visual area, layer 6b Right	d5ff00
1301	Posteromedial visual area, layer 1 Left	d3ff00
1302	Posteromedial visual area, layer 1 Right	d3ff00
1311	Posteromedial visual area, layer 2/3 Left	d0ff00
1312	Posteromedial visual area, layer 2/3 Right	d0ff00
1321	Posteromedial visual area, layer 4 Left	ceff00
1322	Posteromedial visual area, layer 4 Right	ceff00
1331	Posteromedial visual area, layer 5 Left	ccff00
1332	Posteromedial visual area, layer 5 Right	ccff00
1341	Posteromedial visual area, layer 6a Left	c9ff00
1342	Posteromedial visual area, layer 6a Right	c9ff00
1351	Posteromedial visual area, layer 6b Left	c7ff00
1352	Posteromedial visual area, layer 6b Right	c7ff00
1361	Laterointermediate visual area, layer 1 Left	c5ff00
1362	Laterointermediate visual area, layer 1 Right	c5ff00
1371	Laterointermediate visual area, layer 2/3 Left	c2ff00
1372	Laterointermediate visual area, layer 2/3 Right	c2ff00
1381	Laterointermediate visual area, layer 4 Left	c0ff00
1382	Laterointermediate visual area, layer 4 Right	c0ff00
1391	Laterointermediate visual area, layer 5 Left	beff00
1392	Laterointermediate visual area, layer 5 Right	beff00
1401	Laterointermediate visual area, layer 6a Left	bbff00
1402	Laterointermediate visual area, layer 6a Right	bbff00
1411	Laterointermediate visual area, layer 6b Left	b9ff00
1412	Laterointermediate visual area, layer 6b Right	b9ff00
1421	Postrhinal visual area, layer 1 Left	b7ff00
1422	Postrhinal visual area, layer 1 Right	b7ff00
1431	Postrhinal visual area, layer 2/3 Left	b4ff00
1432	Postrhinal visual area, layer 2/3 Right	b4ff00
1441	Postrhinal visual area, layer 4 Left	b2ff00
1442	Postrhinal visual area, layer 4 Right	b2ff00
1451	Postrhinal visual area, layer 5 Left	b0ff00
1452	Postrhinal visual area, layer 5 Right	b0ff00
1461	Postrhinal visual area, layer 6a Left	adff00
1462	Postrhinal visual area, layer 6a Right	adff00
1471	Postrhinal visual area, layer 6b Left	abff00
1472	Postrhinal visual area, layer 6b Right	abff00
1481	Anterior cingulate area, dorsal part, layer 1 Left	a9ff00
1482	Anterior cingulate area, dorsal part, layer 1 Right	a9ff00
1491	Anterior cingulate area, dorsal part, layer 2/3 Left	a6ff00
1492	Anterior cingulate area, dorsal part, layer 2/3 Right	a6ff00
1501	Anterior cingulate area, dorsal part, layer 5 Left	a4ff00
1502	Anterior cingulate area, dorsal part, layer 5 Right	a4ff00
1511	Anterior cingulate area, dorsal part, layer 6a Left	a2ff00
1512	Anterior cingulate area, dorsal part, layer 6a Right	a2ff00
1521	Anterior cingulate area, dorsal part, layer 6b Left	9fff00
1522	Anterior cingulate area, dorsal part, layer 6b Right	9fff00
1531	Anterior cingulate area, ventral part, layer 1 Left	9dff00
1532	Anterior cingulate area, ventral part, layer 1 Right	9dff00
1541	Anterior cingulate area, ventral part, layer 2/3 Left	9bff00
1542	Anterior cingulate area, ventral part, layer 2/3 Right	9bff00
1551	Anterior cingulate area, ventral part, layer 5 Left	98ff00
1552	Anterior cingulate area, ventral part, layer 5 Right	98ff00
1561	Anterior cingulate area, ventral part, layer 6a Left	96ff00
1562	Anterior cingulate area, ventral part, layer 6a Right	96ff00
1571	Anterior cingulate area, ventral part, layer 66 Left	94ff00
1572	Anterior cingulate area, ventral part, layer 66 Right	94ff00
1581	Prelimbic area, layer 1 Left	91ff00
1582	Prelimbic area, layer 1 Right	91ff00
1591	Prelimbic area, layer 2/3 Left	8fff00
1592	Prelimbic area, layer 2/3 Right	8fff00
1601	Prelimbic area, layer 4/5 Left	8dff00
1602	Prelimbic area, layer 4/5 Right	8dff00
1611	Prelimbic area, layer 6a Left	8bff00
1612	Prelimbic area, layer 6a Right	8bff00
1621	Prelimbic area, layer 6b Left	88ff00
1622	Prelimbic area, layer 6b Right	88ff00
1631	Infralimbic area, layer 1 Left	86ff00
1632	Infralimbic area, layer 1 Right	86ff00
1641	Infralimbic area, layer 2/3 Left	84ff00
1642	Infralimbic area, layer 2/3 Right	84ff00
1651	Infralimbic area, layer 5 Left	81ff00
1652	Infralimbic area, layer 5 Right	81ff00
1661	Infralimbic area, layer 6a Left	7fff00
1662	Infralimbic area, layer 6a Right	7fff00
1671	Infralimbic area, layer 6b Left	7dff00
1672	Infralimbic area, layer 6b Right	7dff00
1681	Orbital area, lateral part, layer 1 Left	7aff00
1682	Orbital area, lateral part, layer 1 Right	7aff00
1691	Orbital area, lateral part, layer 2/3 Left	78ff00
